"Date","Price","Open","High","Low","Vol.","Change %"
"03/22/2020","25.15","24.40","27.59","22.74","991.70K","11.14%"
"03/15/2020","22.63","32.69","33.80","20.52","4.29M","-29.52%"
"03/08/2020","32.11","32.87","36.70","27.83","2.27M","-22.65%"
"03/01/2020","41.51","43.93","48.82","41.29","1.11M","-7.63%"
"02/23/2020","44.94","52.79","52.79","44.07","888.24K","-16.00%"
"02/16/2020","53.50","52.49","54.66","51.15","2.20M","2.26%"
"02/09/2020","52.32","50.34","52.56","49.63","1.34M","3.50%"
"02/02/2020","50.55","51.15","52.34","49.50","907.55K","-2.19%"
"01/26/2020","51.68","53.57","54.39","51.09","614.18K","-4.65%"
"01/19/2020","54.20","59.35","59.77","53.88","1.01M","-7.48%"
"01/12/2020","58.58","59.08","59.21","57.42","1.67M","-0.70%"
"01/05/2020","58.99","63.43","65.40","58.55","1.31M","-6.10%"
"12/29/2019","62.82","61.49","63.80","60.42","517.88K","2.10%"
"12/22/2019","61.53","60.19","61.76","59.95","227.72K","2.12%"
"12/15/2019","60.25","59.83","61.40","59.62","1.83M","0.45%"
"12/08/2019","59.98","59.03","60.39","58.02","1.01M","1.49%"
"12/01/2019","59.10","55.45","59.74","55.32","787.58K","7.18%"
"11/24/2019","55.14","57.83","58.60","55.01","355.53K","-4.37%"
"11/17/2019","57.66","57.97","58.56","54.85","1.86M","-0.29%"
"11/10/2019","57.83","57.38","58.09","56.27","1.11M","1.00%"
"11/03/2019","57.26","56.47","57.87","55.77","822.93K","1.76%"
"10/27/2019","56.27","56.70","56.99","53.84","724.71K","-0.78%"
"10/20/2019","56.71","53.83","56.79","52.85","1.30M","5.27%"
"10/13/2019","53.87","54.97","54.99","52.46","1.45M","-1.66%"
"10/06/2019","54.78","52.59","54.99","51.40","1.19M","3.87%"
"09/29/2019","52.74","56.39","56.40","50.89","772.65K","-5.47%"
"09/22/2019","55.79","58.98","59.11","54.64","670.36K","-3.96%"
"09/15/2019","58.09","60.16","63.89","57.58","3.41M","6.00%"
"09/08/2019","54.80","56.68","58.64","53.93","1.00M","-2.89%"
"09/01/2019","56.43","54.76","57.59","52.71","536.37K","2.81%"
"08/25/2019","54.89","53.16","56.62","52.84","592.43K","1.61%"
"08/18/2019","54.02","54.95","56.85","53.12","1.63M","-1.44%"
"08/11/2019","54.81","54.22","57.40","53.46","1.67M","0.81%"
"08/04/2019","54.37","55.36","55.51","50.50","1.29M","-2.34%"
"07/28/2019","55.67","56.31","58.86","53.67","638.93K","-1.17%"
"07/21/2019","56.33","56.20","57.74","55.45","979.64K","1.02%"
"07/14/2019","55.76","60.36","60.99","54.85","2.38M","-7.53%"
"07/07/2019","60.30","57.89","61.02","57.40","848.93K","4.71%"
"06/30/2019","57.59","59.14","60.32","56.13","487.98K","-1.59%"
"06/23/2019","58.52","57.80","59.95","56.82","502.83K","1.77%"
"06/16/2019","57.50","52.71","58.04","51.72","2.48M","8.96%"
"06/09/2019","52.77","54.40","54.99","50.98","967.47K","-2.57%"
"06/02/2019","54.16","53.54","54.73","50.79","695.36K","0.97%"
"05/26/2019","53.64","59.01","59.80","53.19","880.93K","-8.64%"
"05/19/2019","58.71","63.09","63.96","57.42","1.67M","-6.69%"
"05/12/2019","62.92","61.80","63.82","60.81","1.49M","1.81%"
"05/05/2019","61.80","61.54","63.05","60.10","760.96K","-0.39%"
"04/28/2019","62.04","62.98","64.81","61.06","561.85K","-2.11%"
"04/21/2019","63.38","64.07","66.44","62.36","1.28M","-1.08%"
"04/14/2019","64.07","63.90","64.72","63.15","1.46M","0.08%"
"04/07/2019","64.02","63.37","64.71","63.18","1.41M","1.38%"
"03/31/2019","63.15","60.36","63.38","60.36","1.08M","4.76%"
"03/24/2019","60.28","59.24","60.87","58.41","754.34K","1.67%"
"03/17/2019","59.29","58.75","60.61","58.37","2.16M","0.80%"
"03/10/2019","58.82","56.43","59.25","56.32","1.13M","4.24%"
"03/03/2019","56.43","56.15","57.56","54.87","763.55K","0.43%"
"02/24/2019","56.19","57.62","58.26","55.47","489.15K","-2.70%"
"02/17/2019","57.75","56.15","58.28","55.66","1.73M","3.16%"
"02/10/2019","55.98","53.04","56.26","51.62","1.65M","5.44%"
"02/03/2019","53.09","55.60","56.05","52.15","850.58K","-4.43%"
"01/27/2019","55.55","53.91","55.92","51.62","596.59K","2.91%"
"01/20/2019","53.98","53.95","54.51","52.04","1.21M","-0.11%"
"01/13/2019","54.04","52.03","54.14","50.66","1.94M","4.10%"
"01/06/2019","51.91","48.61","53.61","48.44","1.04M","7.52%"
"12/30/2018","48.28","45.43","49.53","44.67","510.73K","5.88%"
"12/23/2018","45.60","45.74","47.31","42.67","318.11K","-0.63%"
"12/16/2018","45.89","51.52","52.15","45.40","2.53M","-10.84%"
"12/09/2018","51.47","52.21","53.50","50.60","1.16M","-2.54%"
"12/02/2018","52.81","51.93","54.77","50.31","728.20K","3.37%"
"11/25/2018","51.09","50.71","52.70","49.60","396.63K","0.99%"
"11/18/2018","50.59","57.03","57.58","50.33","995.69K","-10.74%"
"11/11/2018","56.68","60.85","61.44","54.90","2.40M","-6.10%"
"11/04/2018","60.36","63.02","64.24","59.45","981.94K","-4.61%"
"10/28/2018","63.28","67.66","68.09","62.77","574.43K","-6.60%"
"10/21/2018","67.75","69.60","69.84","65.94","926.82K","-2.21%"
"10/14/2018","69.28","71.66","72.53","68.53","1.97M","-2.67%"
"10/07/2018","71.18","74.40","75.16","70.37","1.07M","-4.15%"
"09/30/2018","74.26","73.07","76.72","72.77","833.48K","1.64%"
"09/23/2018","73.06","70.75","73.56","70.68","668.29K","3.82%"
"09/16/2018","70.37","68.70","71.38","68.29","2.27M","2.33%"
"09/09/2018","68.77","67.64","70.89","67.19","1.21M","1.81%"
"09/02/2018","67.55","69.49","70.98","66.67","495.30K","-2.62%"
"08/26/2018","69.37","68.20","70.07","67.91","330.64K","1.48%"
"08/19/2018","68.36","65.21","68.96","64.85","1.18M","4.83%"
"08/12/2018","65.21","67.07","67.72","63.89","1.21M","-2.58%"
"08/05/2018","66.94","67.55","68.86","65.49","828.97K","-0.61%"
"07/29/2018","67.35","67.86","69.19","65.82","512.94K","-0.56%"
"07/22/2018","67.73","66.59","68.64","66.26","468.17K","-0.78%"
"07/15/2018","68.26","69.52","69.78","66.29","2.35M","-2.42%"
"07/08/2018","69.95","71.59","72.98","68.09","1.25M","-2.26%"
"07/01/2018","71.57","72.00","72.85","69.93","800.31K","-1.23%"
"06/24/2018","72.46","67.55","72.80","66.77","1.03M","7.14%"
"06/17/2018","67.63","64.22","68.25","63.40","2.66M","4.29%"
"06/10/2018","64.85","65.50","67.03","64.09","1.26M","-1.25%"
"06/03/2018","65.67","65.65","66.16","64.15","926.06K","-0.15%"
"05/27/2018","65.77","67.29","68.52","65.48","795.17K","-2.97%"
"05/20/2018","67.78","71.50","72.90","67.33","1.75M","-5.03%"
"05/13/2018","71.37","70.50","72.37","70.24","1.84M","0.98%"
"05/06/2018","70.68","69.69","71.80","67.57","1.26M","1.58%"
"04/29/2018","69.58","68.04","69.82","66.77","914.85K","2.35%"
"04/22/2018","67.98","68.05","69.19","66.97","797.78K","-0.61%"
"04/15/2018","68.40","67.29","69.55","65.59","3.10M","1.59%"
"04/08/2018","67.33","62.03","67.63","62.01","1.59M","8.42%"
"04/01/2018","62.10","64.84","65.35","61.86","967.61K","-4.27%"
"03/25/2018","64.87","65.81","66.37","63.68","598.54K","-1.28%"
"03/18/2018","65.71","62.30","65.82","61.45","1.85M","5.29%"
"03/11/2018","62.41","61.95","62.60","60.18","1.59M","0.79%"
"03/04/2018","61.92","61.37","63.05","59.91","1.23M","1.36%"
"02/25/2018","61.09","63.47","64.07","59.99","764.46K","-3.66%"
"02/18/2018","63.41","61.51","63.54","60.61","1.15M","3.02%"
"02/11/2018","61.55","58.77","61.87","58.09","2.17M","4.34%"
"02/04/2018","58.99","64.69","64.97","57.90","1.64M","-9.34%"
"01/28/2018","65.07","66.01","66.23","63.54","1.03M","-1.36%"
"01/21/2018","65.97","63.50","66.39","63.05","1.38M","4.20%"
"01/14/2018","63.31","64.33","64.83","62.78","2.01M","-1.43%"
"01/07/2018","64.23","61.59","64.53","61.35","1.77M","4.59%"
"12/31/2017","61.41","60.21","62.05","60.14","863.39K","1.60%"
"12/24/2017","60.44","58.48","60.53","58.39","327.05K","3.25%"
"12/17/2017","58.54","57.40","58.57","56.88","1.22M","2.11%"
"12/10/2017","57.33","57.32","58.60","56.11","1.68M","-0.19%"
"12/03/2017","57.44","58.44","58.44","55.88","897.99K","-1.61%"
"11/26/2017","58.38","58.92","58.93","56.82","785.65K","-0.90%"
"11/19/2017","58.91","56.80","58.99","55.75","1.14M","3.88%"
"11/12/2017","56.71","57.16","57.37","55.00","2.13M","-0.47%"
