"Date","Price","Open","High","Low","Vol.","Change %"
"03/26/2021","60.96","58.44","61.34","58.33","183.90K","4.08%"
"03/25/2021","58.57","60.80","60.84","57.46","198.97K","-4.23%"
"03/24/2021","61.16","57.42","61.31","57.33","190.27K","5.85%"
"03/23/2021","57.78","61.18","61.25","57.29","310.15K","-6.14%"
"03/22/2021","61.56","61.60","62.04","60.35","404.37K","0.20%"
"03/19/2021","61.44","59.65","61.80","59.01","723.88K","2.30%"
"03/18/2021","60.06","64.44","64.88","58.28","728.88K","-7.07%"
"03/17/2021","64.63","64.87","65.40","63.64","300.15K","-0.35%"
"03/16/2021","64.86","65.34","65.48","63.87","213.77K","-0.89%"
"03/15/2021","65.44","65.56","66.44","64.22","193.97K","-0.30%"
"03/12/2021","65.64","65.95","66.22","65.40","166.57K","-0.55%"
"03/11/2021","66.00","64.62","66.17","64.49","217.43K","2.45%"
"03/10/2021","64.42","63.81","64.90","63.10","217.20K","0.67%"
"03/09/2021","63.99","64.60","65.87","63.60","275.96K","-1.45%"
"03/08/2021","64.93","66.50","67.79","64.45","203.12K","-1.50%"
"03/05/2021","65.92","63.94","66.23","63.59","231.06K","3.62%"
"03/04/2021","63.62","60.93","64.62","60.36","241.24K","4.12%"
"03/03/2021","61.10","59.40","61.75","59.08","170.70K","2.57%"
"03/02/2021","59.57","60.04","60.98","59.20","149.34K","-1.41%"
"03/01/2021","60.42","61.42","62.67","59.77","153.33K","-1.32%"
"02/26/2021","61.23","63.17","63.24","61.04","124.26K","-3.15%"
"02/25/2021","63.22","63.22","63.56","62.45","180.38K","0.35%"
"02/24/2021","63.00","61.07","63.28","60.77","149.43K","2.56%"
"02/23/2021","61.43","61.90","62.71","60.44","150.92K","-0.44%"
"02/22/2021","61.70","58.93","62.22","58.82","505.77K","4.12%"
"02/19/2021","59.26","60.18","60.32","58.60","608.59K","-2.10%"
"02/18/2021","60.53","61.71","62.29","59.81","538.43K","-1.03%"
"02/17/2021","61.16","60.28","61.75","59.56","383.87K","1.80%"
"02/16/2021","60.08","59.83","60.78","59.34","485.73K","1.18%"
"02/12/2021","59.38","57.82","59.72","57.31","272.11K","2.13%"
"02/11/2021","58.14","58.26","58.57","57.75","187.76K","-0.73%"
"02/10/2021","58.57","58.33","58.77","57.98","186.03K","0.55%"
"02/09/2021","58.25","57.99","58.49","57.17","246.49K","0.73%"
"02/08/2021","57.83","56.95","57.98","56.86","152.37K","1.99%"
"02/05/2021","56.70","56.32","57.11","56.32","170.65K","1.12%"
"02/04/2021","56.07","55.80","56.41","55.16","147.93K","0.95%"
"02/03/2021","55.54","54.96","56.16","54.66","173.15K","1.68%"
"02/02/2021","54.62","53.35","55.09","53.32","182.83K","2.25%"
"02/01/2021","53.42","51.90","53.60","51.53","126.46K","2.57%"
"01/29/2021","52.08","52.03","53.13","51.85","99.60K","-0.31%"
"01/28/2021","52.24","52.54","53.43","51.94","114.94K","-0.93%"
"01/27/2021","52.73","52.67","53.16","51.77","131.52K","0.40%"
"01/26/2021","52.52","52.81","53.12","52.20","90.35K","-0.28%"
"01/25/2021","52.67","52.08","52.84","51.75","94.90K","0.92%"
"01/22/2021","52.19","53.01","53.08","51.38","110.82K","-1.62%"
"01/21/2021","53.05","52.81","53.30","52.64","131.54K","-0.49%"
"01/20/2021","53.31","53.06","53.83","52.83","400.30K","0.62%"
"01/19/2021","52.98","52.00","53.18","51.81","533.78K","1.07%"
"01/15/2021","52.42","53.77","53.86","51.89","391.29K","-2.24%"
"01/14/2021","53.62","52.89","53.79","52.30","320.72K","1.25%"
"01/13/2021","52.96","53.34","53.94","52.60","269.31K","-0.53%"
"01/12/2021","53.24","52.19","53.47","52.08","231.07K","1.86%"
"01/11/2021","52.27","52.55","52.69","51.51","216.27K","0.02%"
"01/08/2021","52.26","50.90","52.74","50.86","256.96K","2.73%"
"01/07/2021","50.87","50.55","51.30","50.44","177.01K","0.36%"
"01/06/2021","50.69","49.93","50.98","49.53","255.40K","1.36%"
"01/05/2021","50.01","47.54","50.27","47.39","277.27K","4.71%"
"01/04/2021","47.76","48.49","49.94","47.31","172.92K","-1.79%"
"12/31/2020","48.63","48.41","48.68","47.88","53.38K","0.27%"
"12/30/2020","48.50","48.26","48.78","47.76","71.10K","0.75%"
"12/29/2020","48.14","47.87","48.49","47.82","61.07K","0.77%"
